"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-12-11","0.00","0.0","49","16"
"USC00050848","BOULDER, CO US","2021-12-12","0.00","0.0","65","33"
"USC00050848","BOULDER, CO US","2021-12-13","0.00","0.0","56","28"
"USC00050848","BOULDER, CO US","2021-12-14","0.00","0.0","62","31"
"USC00050848","BOULDER, CO US","2021-12-15","0.03","0.0","56","31"
"USC00050848","BOULDER, CO US","2021-12-16","0.00","0.0","46","31"
"USC00050848","BOULDER, CO US","2021-12-17","0.00","0.0","45","26"
"USC00050848","BOULDER, CO US","2021-12-18","0.00","0.0","39","7"
"USC00050848","BOULDER, CO US","2021-12-19","0.00","0.0","62","18"
"USC00050848","BOULDER, CO US","2021-12-20","0.00","0.0","62","33"
"USC00050848","BOULDER, CO US","2021-12-21","0.00","0.0","63","25"
"USC00050848","BOULDER, CO US","2021-12-22","0.00","0.0","63","32"
"USC00050848","BOULDER, CO US","2021-12-23","0.00","0.0","63","41"
"USC00050848","BOULDER, CO US","2021-12-24","0.04","0.0","55","38"
"USC00050848","BOULDER, CO US","2021-12-25","0.00","0.0","54","34"
"USC00050848","BOULDER, CO US","2021-12-26","0.00","0.0","52","23"
"USC00050848","BOULDER, CO US","2021-12-27","0.00","0.0","44","21"
"USC00050848","BOULDER, CO US","2021-12-28","0.00","0.0","37","23"
"USC00050848","BOULDER, CO US","2021-12-29","0.00","0.0","33","10"
"USC00050848","BOULDER, CO US","2021-12-30","0.00","0.0","44","16"
"USC00050848","BOULDER, CO US","2021-12-31","0.26","4.1","44","25"
"USC00050848","BOULDER, CO US","2022-01-01","0.43","7.1","25","5"
"USC00050848","BOULDER, CO US","2022-01-02","0.00","0.0","50","-4"
"USC00050848","BOULDER, CO US","2022-01-03","0.00","0.0","51","22"
"USC00050848","BOULDER, CO US","2022-01-04","0.00","0.0","49","30"
"USC00050848","BOULDER, CO US","2022-01-05","0.17","2.6","36","11"
